timestamp,symbol,side,entry_price,tp_price,sl_price,confidence,qty,result,exit_price,pnl
2026-04-21T04:27:42.957052+00:00,XRP-USD,buy,1.4266,1.4498,1.4104,0.607,14019.346901,open,,
2026-04-21T04:27:44.664018+00:00,LINK-USD,buy,9.309,9.4897,9.1746,0.5565,1718.766782,open,,
2026-04-21T04:39:24.360630+00:00,AVAX-USD,buy,9.31,9.4973,9.1755,0.5839,1288.936569,open,,
2026-05-07T21:41:10.635303+00:00,AVAX-USD,buy,9.31,9.4973,9.1755,0.5839,1288.936569,HEALTH_CHECK,9.47,206.23
2026-05-07T21:48:26.548922+00:00,XRP-USD,buy,1.4266,1.4498,1.4165,0.607,14019.346901,HEALTH_CHECK,1.3849,-584.61
